kind,keyword,word1,word2
pair,,ok,told
pair,,disgusting,got
pair,,favorite,day
pair,,highly,clean
pair,,bad,30
pair,,day,like
pair,,bad,charge
pair,,asked,place
pair,,good,day
pair,,ok,said
pair,,poor,got
pair,,store,looks
pair,,overpriced,got
pair,,worst,airport
pair,,best,said
pair,,ok,okay
pair,,good,perfect
pair,,order,attitude
pair,,worst,definitely
pair,,worst,delivery
pair,,even,excellent
pair,,place,day
pair,,30,expensive
pair,,got,like
pair,,asked,gave
pair,,bad,super
pair,,got,spot
pair,,told,got
pair,,order,open
pair,,food,mal
pair,,told,place
pair,,amazing,rude
pair,,literally,dirty
pair,,expensive,time
pair,,favorite,time
pair,,disgusting,even
pair,,spot,day
pair,,worst,poor
pair,,highly,like
pair,,order,okay
pair,,horrible,attitude
pair,,favorite,ordered
pair,,great,30
pair,,even,avoid
pair,,rude,time
pair,,horrible,hour
pair,,amazing,ordered
pair,,overpriced,okay
pair,,asked,decent
pair,,nice,said
pair,,bad,gave
pair,,money,okay
pair,,literally,even
pair,,place,said
pair,,ok,time
pair,,decent,okay
pair,,waste,said
pair,,bad,minutes
pair,,money,place
pair,,disgusting,overpriced
pair,,attitude,ordered
pair,,ordered,clean
pair,,looks,like
pair,,best,ordered
pair,,favorite,place
pair,,best,day
pair,,great,horrible
pair,,store,30
pair,,order,disgusting
pair,,worst,gave
pair,,got,expensive
pair,,money,poor
pair,,overpriced,like
pair,,great,terrible
pair,,good,expensive
pair,,asked,really
pair,,order,super
pair,,bad,fresh
pair,,rude,okay
pair,,expensive,minutes
pair,,good,store
pair,,favorite,food
pair,,waste,phone
pair,,rude,avoid
pair,,super,day
pair,,amazing,terrible
pair,,called,food
pair,,rude,literally
pair,,expensive,gave
pair,,30,service
pair,,said,decent
pair,,ordered,excellent
pair,,amazing,asked
pair,,rude,nice
pair,,food,spot
pair,,food,dirty
pair,,never,really
pair,,store,waste
pair,,order,excellent
pair,,ordered,fresh
pair,,rude,best
pair,,like,minutes
pair,,store,told
pair,,rude,really
pair,,reviews,looks
pair,,even,fresh
pair,,amazing,said
pair,,rude,overpriced
pair,,day,service
pair,,poor,said
pair,,highly,day
pair,,decent,time
pair,,bad,highly
pair,,good,attitude
pair,,favorite,got
pair,,asked,minutes
pair,,order,dirty
pair,,worst,literally
pair,,30,minutes
pair,,never,fresh
pair,,expensive,service
pair,,attitude,airport
pair,,never,hour
pair,,terrible,gave
pair,,horrible,store
pair,,said,time
pair,,horrible,phone
pair,,place,gave
pair,,love,money
pair,,day,time
pair,,gave,delivery
pair,,terrible,time
pair,,terrible,service
pair,,order,spot
pair,,always,said
pair,,spot,like
pair,,literally,delivery
pair,,reviews,definitely
pair,,store,spot
pair,,food,charge
pair,,ok,minutes
pair,,store,always
pair,,rude,decent
pair,,nice,day
pair,,never,minutes
pair,,horrible,super
pair,,never,highly
pair,,told,phone
pair,,clean,time
pair,,never,excellent
pair,,day,really
pair,,food,decent
pair,,horrible,gave
pair,,horrible,literally
pair,,great,day
pair,,okay,minutes
pair,,even,gave
pair,,bad,nice
pair,,rude,open
pair,,bad,definitely
pair,,store,phone
pair,,told,like
pair,,ok,nice
pair,,disgusting,store
pair,,told,time
pair,,money,charge
pair,,horrible,time
pair,,store,fresh
pair,,store,like
pair,,got,dirty
pair,,amazing,day
pair,,excellent,day
pair,,told,okay
pair,,poor,service
pair,,asked,clean
pair,,great,money
pair,,rude,love
pair,,rude,delivery
pair,,literally,waste
pair,,best,gave
pair,,waste,service
pair,,worst,best
pair,,food,fuzhou
pair,,ordered,avoid
pair,,good,phone
pair,,day,clean
pair,,store,definitely
pair,,horrible,best
pair,,terrible,really
pair,,gave,time
pair,,poor,clean
pair,,avoid,service
pair,,order,reviews
pair,,terrible,nice
pair,,disgusting,phone
pair,,horrible,fresh
pair,,never,decent
pair,,perfect,really
pair,,reviews,really
pair,,told,charge
pair,,good,disgusting
pair,,attitude,service
pair,,disgusting,expensive
pair,,asked,service
pair,,food,minutes
pair,,asked,always
pair,,asked,okay
pair,,attitude,said
pair,,never,avoid
pair,,ok,poor
pair,,rude,fresh
pair,,money,nice
pair,,gem,like
pair,,asked,favorite
pair,,horrible,called
pair,,told,minutes
pair,,terrible,minutes
pair,,highly,food
pair,,poor,expensive
pair,,reviews,hour
pair,,bad,looks
pair,,never,spot
pair,,bad,store
pair,,attitude,food
pair,,waste,minutes
pair,,told,decent
pair,,waste,looks
pair,,never,favorite
pair,,order,perfect
pair,,money,clean
pair,,charge,decent
pair,,ok,spot
pair,,best,money
pair,,never,open
pair,,good,gave
pair,,disgusting,place
pair,,waste,overpriced
pair,,money,delivery
pair,,even,definitely
pair,,asked,fresh
pair,,even,phone
pair,,worst,really
pair,,poor,like
pair,,worst,looks
pair,,love,store
pair,,ok,place
pair,,horrible,always
pair,,terrible,literally
pair,,open,clean
pair,,gem,fresh
pair,,told,clean
pair,,love,gave
pair,,highly,even
pair,,nice,gave
pair,,never,called
pair,,perfect,time
pair,,great,asked
pair,,store,service
pair,,asked,super
pair,,perfect,like
pair,,reviews,attitude
pair,,food,okay
pair,,best,charge
pair,,overpriced,time
pair,,ok,service
pair,,30,okay
pair,,never,super
pair,,rude,always
pair,,reviews,place
pair,,horrible,okay
pair,,reviews,food
pair,,asked,poor
pair,,got,minutes
pair,,open,fresh
pair,,money,waste
pair,,good,poor
pair,,ok,day
pair,,disgusting,ordered
